Environment variable, Type, Default value, Description
DD_SERVICE_NAME, "string", (null), "Service name override"
DD_TRACE_APP_NAME, "string", (null), "Deprecated service name override"
DDTRACE_APP_NAME, "string", (null), "Deprecated service name override"
DD_AGENT_HOST, "string", localhost, "DataDog agent hostname"
DD_TRACE_AGENT_PORT, "numeric", "8126", "DataDog agent port"
DD_TRACE_ENCODER, "string", (null), "Possible values: json, msgpack. Defaults to msgpack on values other than `json`"
DD_TRACE_CLI_ENABLED, "boolean", false, "Enable tracing in CLI"
DD_TRACE_ENABLED, "boolean", true, "Enable tracing globally"
DD_TRACE_ANALYTICS_ENABLED, "boolean", false, "Enable trace analytics"
DD_PRIORITY_SAMPLING, "boolean", true, "Enable priority sampling"
DD_AUTOFINISH_SPANS, "boolean", false, "Automaticaly close unfinished spans when request ends"
DD_TRACE_REPORT_HOSTNAME, "boolean", false, "Enable hostname reporting"
DD_TRACE_URL_AS_RESOURCE_NAMES_ENABLED, "boolean", false, "Set urls as resource names"
DD_TRACE_HTTP_CLIENT_SPLIT_BY_DOMAIN, "boolean", false, "Split curl service by connected domains"
DD_TRACE_DEBUG, "boolean", false, "Enable tracer debugging"
DD_DISTRIBUTED_TRACING, "boolean", true, "Enable distributed tracing"
DD_TRACE_MEMORY_LIMIT, "string", (null), ""
DD_TRACE_AGENT_FLUSH_INTERVAL, "numeric", "5000", ""
DD_TRACE_AGENT_FLUSH_AFTER_N_REQUESTS, "numeric", "10", ""
DD_TRACE_AGENT_TIMEOUT, "numeric", "500", ""
DD_TRACE_AGENT_CONNECT_TIMEOUT, "numeric", "100", ""
DD_LOG_BACKTRACE, "boolean", false, ""
DD_TRACE_SHUTDOWN_TIMEOUT, "numeric", "5000", ""
DD_TRACE_BETA_HIGH_MEMORY_PRESSURE_PERCENT, "numeric", "80", "reaching this percent threshold of a span buffer will trigger background thread to attempt to flush existing data to trace agent"
